timestamp (UTC),humiditysensortemperature (degrees Celsius),radiation (W/m2),relativehumidity (-),temperature (degrees Celsius),windspeed (m/s)
29/08/2019 11:00,30.9,1152,0.479,26.9,1.18
29/08/2019 11:05,30.7,1123,0.534,26.4,0.94
29/08/2019 11:10,30.6,955,0.533,26.9,0.63
29/08/2019 11:15,30.6,1082,0.537,26.6,0.62
